"ID","Category","Name","Will move","URL","Social Media Name","Facebook","Twitter","YouTube","GovDelivery","Instagram","Google Plus","SoundCloud","Flickr","Blogger","WordPress","Pinterest","Vimeo"
48,"Commissions","Planning Commission","x","http://baltimorecity.gov/Government/AgenciesDepartments/Planning/PlanningCommission.aspx",,,,,,,,,,,,,
49,"Commissions","Sustainability Commission",,"http://www.baltimoresustainability.org/about/commission","Office of Sustainability","https://www.facebook.com/baltimoresustainability/17467842382","https://twitter.com/SustainBmore","http://www.youtube.com/user/BmoreSustainability",,"http://instagram.com/SustainBmore",,,,,,,"http://vimeo.com/baltimoresustainability"
50,"Commissions","War Memorial Commission",,"http://warmemorial.baltimorecity.gov/",,,,,,,,,,,,,
51,"Commissions","Women's Commission","x","http://www.baltimorecity.gov/Government/BoardsandCommissions/WomensCommission.aspx",,,,,,,,,,,,,
52,"Commissions","Youth Commission","x","http://baltimorecity.gov/Government/BoardsandCommissions/YouthCommission.aspx","Youth Commission","https://www.facebook.com/TheBaltimoreCityYouthCommission/394738487252877","https://twitter.com/BMoreCityYC",,,,,,,,,,
53,"501(c) 3 Corporations","Baltimore Development Corporation",,"http://www.baltimoredevelopment.com/",,,,,,,,,,,,,
54,"501(c) 3 Corporations","Empower Baltimore Management Corporation",,"http://www.ebmc.org/",,,,,,,,,,,,,
55,"501(c) 3 Corporations","Baltimore Heritage Area Association, Inc.","x","http://www.baltimorecity.gov/OfficeoftheMayor/MayoralOffices/BaltimoreNationalHeritageArea.aspx",,,,,,,,,,,,,
56,"501(c) 3 Corporations","Baltimore Office of Promotion and the Arts",,"http://www.bop.org/","Baltimore Office of Promotion & The Arts (BOPA)","#REF!","https://twitter.com/promoandarts","http://www.youtube.com/BOPAInc",,,,,,,,,
57,"501(c) 3 Corporations","Parking Authority","x","http://www.baltimorecity.gov/Government/QuasiAgencies/ParkingAuthority.aspx","Parking Authority","#REF!","https://twitter.com/ParkingAuthBC",,,,,,,,,,
58,"State Entities","Board of Elections","x","http://www.baltimorecity.gov/Government/BoardsandCommissions/ElectionsBoard.aspx","Board of Elections","#REF!",,,,,,,,,,,
59,"State Entities","Circuit Court",,"http://www.baltocts.state.md.us/",,,,,,,,,,,,,
60,"State Entities","Police Department",,"http://www.baltimorepolice.org/","Police Department","#REF!","https://twitter.com/BaltimorePolice","http://www.youtube.com/BPDMEDIAUNIT",,,,,,,,,
61,"State Entities","Public Schools",,"http://www.baltimorecityschools.org/","Baltimore City Public Schools",,"https://twitter.com/BaltCitySchools",,,,,,,,,,
