title,type,old url,migrate,section
Home,page,http://warmemorial.baltimorecity.gov/,,1212
History,page,http://warmemorial.baltimorecity.gov/History.aspx,,1212
The Commission,page,http://warmemorial.baltimorecity.gov/Commission.aspx,,1212
Members,page,http://warmemorial.baltimorecity.gov/Commission/Members.aspx,,1212
Events,page,http://warmemorial.baltimorecity.gov/Events.aspx,,1212
Misc Information,page,http://warmemorial.baltimorecity.gov/MiscInfo.aspx,,1212
FAQ,page,http://warmemorial.baltimorecity.gov/FAQ.aspx,,1212
About Us,page,http://warmemorial.baltimorecity.gov/AboutUs.aspx,,1212
Contact Us,page,http://warmemorial.baltimorecity.gov/ContactUs.aspx,,1212
