title,type,old url,migrate,section
Biography,page,http://communications.baltimorecity.gov/DigitalMedia/Biography.aspx,,
Mayoral Initiatives,page,http://www.baltimorecity.gov/officeofthemayor/mayoralinitiatives.aspx,,
Mayoral Fellowship,page,http://www.baltimorecity.gov/officeofthemayor/mayoralinitiatives/mayoralfellowship.aspx,,
Rape Helpline Outreach,page,http://www.baltimorecity.gov/officeofthemayor/mayoralinitiatives/rapehelplineoutreach.aspx,,
FAQ,page,http://www.baltimorecity.gov/OfficeoftheMayor/MayoralInitiatives/MayoralFellowship/FAQ.aspx,,
Mayor’s Youth Cabinent,page,http://www.baltimorecity.gov//officeofthemayor/mayoralinitiatives/mayorsyouthcabinet.aspx,,
Agencies,page,http://www.baltimorecity.gov/officeofthemayor/mayoralinitiatives/mayoralfellowship/agencies.aspx,,
Fellows Newsletter,page,http://www.baltimorecity.gov/OfficeoftheMayor/MayoralInitiatives/MayoralFellowship/FellowsNewsletter.aspx,,
The Rawlings Blake Review,page,http://www.baltimorecity.gov/OfficeoftheMayor/NewsMedia/TheRawlingsBlakeReview.aspx,,
